name,description,price,tags,category
"Menu del Dia","El Beneficio Bistro menu del dia. Incluye una entrada, un fuerte, agua del dia y postre.",285,"el-beneficio-bistro;menu-del-dia;comida-corrida;incluye-postre","combo"
"Crema Vegana de Manzana Verde","Crema vegana de manzana verde con lemon grass, albahaca y manzanas al vino espumoso.",285,"el-beneficio-bistro;entrada;vegano;sopa","entrada"
"Ensalada de Variedad de Jitomates","Ensalada de jitomates con pesto de la casa y queso burrata fresco.",285,"el-beneficio-bistro;entrada;ensalada;vegetariano","entrada"
"Tetelas de Frijol Fritas","Tetelas de frijol fritas con salsa fresca, crema de rancho, queso y guajes frescos.",285,"el-beneficio-bistro;entrada;antojito","entrada"
"Birria de Setas","Birria de setas con jardin, tortillas tatemadas con aguacate y quesa birria.",285,"el-beneficio-bistro;fuerte;vegano;setas","fuerte"
"Muslos de Pollo en Mole Poblano","Muslos de pollo en mole poblano con platano macho, ajonjoli y arroz del dia.",285,"el-beneficio-bistro;fuerte;pollo;mole","fuerte"
"Pescado en Salsa Veracruzana","Pescado en salsa veracruzana con aros de cebolla fritos, chile guero, aceitunas y papas confitadas.",285,"el-beneficio-bistro;fuerte;pescado;mariscos","fuerte"
"El Jugo","Jugo de naranja o verde de la casa.",65,"el-beneficio-bistro;bebida;jugo","bebida"
"El Frappe","Frappe de cafe o vainilla.",95,"el-beneficio-bistro;bebida;frappe;cafe","bebida"
"El Lassi","Lassi de guanabana o mango.",95,"el-beneficio-bistro;bebida;lassi","bebida"
"Agua del Dia","Agua del dia de temporada.",60,"el-beneficio-bistro;bebida;agua-fresca","bebida"
"Kombucha","Kombucha de la casa.",60,"el-beneficio-bistro;bebida;fermentado","bebida"
"Kefir","Kefir de la casa.",60,"el-beneficio-bistro;bebida;fermentado","bebida"
"La Limonada","Limonada de jengibre y limon encurtido o la naranjada.",85,"el-beneficio-bistro;bebida;limonada","bebida"
"El Suero","Agua mineral y flor de sal.",75,"el-beneficio-bistro;bebida;mineral","bebida"
"El Felix","Schorle artesanal.",65,"el-beneficio-bistro;bebida;artesanal","bebida"
"Agua Mineral Natural de la Casa","Agua mineral natural de la casa.",55,"el-beneficio-bistro;bebida;agua-mineral","bebida"
"Agua de Piedra Mineral","Agua de piedra mineral.",65,"el-beneficio-bistro;bebida;agua-mineral","bebida"
"Vino Organico (Copa)","Vino organico por copa.",195,"el-beneficio-bistro;trago;vino;alcohol","alcohol"
"Vino Organico (Botella)","Vino organico por botella.",950,"el-beneficio-bistro;trago;vino;alcohol","alcohol"
"Cerveza Artesanal Mexicana","Cerveza artesanal mexicana.",100,"el-beneficio-bistro;trago;cerveza;alcohol","alcohol"
"Carta Blanca","Cerveza Carta Blanca.",45,"el-beneficio-bistro;trago;cerveza;alcohol","alcohol"
"Tragos de Autor","Cocteleria de la casa (ej. gin citrus, aperol spritz, frouze).",165,"el-beneficio-bistro;trago;coctel;alcohol","alcohol"
"El Cafe Espresso","Cafe espresso.",35,"el-beneficio-bistro;cafe;bebida-caliente","bebida-caliente"
"Cafe Americano","Cafe americano.",45,"el-beneficio-bistro;cafe;bebida-caliente","bebida-caliente"
"Latte / Capuchino / Flat White","Bebidas de cafe con leche.",65,"el-beneficio-bistro;cafe;bebida-caliente","bebida-caliente"
"La Olla","Cafe de olla con canela, cardamomo y piloncillo.",55,"el-beneficio-bistro;cafe-de-olla;bebida-caliente","bebida-caliente"
"El Atole","Atole de coco y lemongrass.",75,"el-beneficio-bistro;atole;bebida-caliente","bebida-caliente"
"El Brebaje","Bebida especial (chai latte, chocolate, golden milk, matcha latte o taro latte).",90,"el-beneficio-bistro;bebida-caliente;especial","bebida-caliente"
"Leche de Almendra (Extra)","Extra de leche de almendra de la casa.",20,"el-beneficio-bistro;extra;leche","extra"
"Leche Deslactosada/Soya/Coco (Extra)","Extra de leche deslactosada, soya o coco.",15,"el-beneficio-bistro;extra;leche","extra"
"Te y Tisanas","Seleccion de te y tisanas.",65,"el-beneficio-bistro;te;infusion","bebida-caliente"
"El Pan Dulce","Pan dulce recien salido del horno con opciones de temporada.",48,"el-beneficio-bistro;pan-dulce;postre","postre"
"Croissant de Mantequilla","Croissant de mantequilla.",,"el-beneficio-bistro;panaderia;croissant","postre"
"Pan de Masa Madre","Pan de masa madre. Puede servirse con mantequilla artesanal y mermelada (+15).",,"el-beneficio-bistro;panaderia;masa-madre","postre"
"La Fruta de Estacion","Fruta de estacion con yogurt natural, granola casera y miel de abeja local.",100,"el-beneficio-bistro;fruta;desayuno","desayuno"
"El Waffle Petaluma","Waffle crujiente y suave con mantequilla de naranja y compota de frutos rojos.",165,"el-beneficio-bistro;waffle;desayuno;postre","desayuno"
"El Pan Frances","Brioche de elote y mantequilla, helado de vainilla, compota de frutos rojos y espuma de rompope.",145,"el-beneficio-bistro;pan-frances;desayuno;postre","desayuno"
"El Pan y el Frijol","Molletes en pan campesino con frijoles negros, mezcla de quesos, chorizo de semillas y pico de gallo fresco.",185,"el-beneficio-bistro;huevo;desayuno","desayuno"
"Omelette Alcachofa","Relleno de corazon de alcachofa, huitlacoche, elote dulce y jitomate; servido con vin blanc y queso de montana.",210,"el-beneficio-bistro;huevo;omelette;desayuno","desayuno"
"El Bendicto Poblano","Sobre brioche de elote y mantequilla, chile poblano, queso manchego fresco, flor de calabaza y holandesa de epazote.",195,"el-beneficio-bistro;huevo;desayuno","desayuno"
